Date,Team,Acquired,Relinquished,Notes
01/02/2019,Thunder,Steven Adams,,returned to lineup
02/02/2019,Bucks,,Eric Bledsoe,left Achilles injury (DTD)
02/02/2019,Bulls,Zach LaVine,,returned to lineup
02/02/2019,Magic,,Mo Bamba,left leg injury (DTD)
02/02/2019,Mavericks,Luka Doncic,,returned to lineup
02/02/2019,Spurs,,Dante Cunningham,sore right ankle (DTD)
02/02/2019,Timberwolves,Derrick Rose,,returned to lineup
02/02/2019,Warriors,Klay Thompson,,returned to lineup
03/02/2019,Celtics,,Robert Williams III,sore back (DTD)
03/02/2019,Grizzlies,Jaren Jackson Jr.,,returned to lineup
03/02/2019,Spurs,,Derrick White,right heel injury (DTD)
03/02/2019,Thunder,,Abdel Nader,illness (DTD)
04/02/2019,Bucks,Eric Bledsoe,,returned to lineup
04/02/2019,Nets,,Joe Harris,right hip injury (DTD)
04/02/2019,Nuggets,,Paul Millsap,sore right ankle (DTD)
04/02/2019,Spurs,Dante Cunningham,,returned to lineup
04/02/2019,Timberwolves,,Derrick Rose,sore right ankle (DTD)
05/02/2019,Blazers,Jusuf Nurkic,,returned to lineup
05/02/2019,Celtics,,Marcus Morris,sore right knee (DTD)
05/02/2019,Grizzlies,,JaMychal Green,sore left knee (DTD)
05/02/2019,Grizzlies,,Joakim Noah,right heel injury (DTD)
05/02/2019,Grizzlies,,Marc Gasol,hand injury (DTD)
05/02/2019,Lakers,,Josh Hart,left knee injury (DTD)
05/02/2019,Thunder,Abdel Nader,,returned to lineup
06/02/2019,Grizzlies,Marc Gasol,,returned to lineup
06/02/2019,Nets,Joe Harris,,returned to lineup
06/02/2019,Suns,,Devin Booker,right hamstring injury (DTD)
07/02/2019,Celtics,Marcus Morris,,returned to lineup
07/02/2019,Lakers,Josh Hart,,returned to lineup
07/02/2019,Raptors,,Kawhi Leonard,sore left knee (DTD)
08/02/2019,Timberwolves,,Jerryd Bayless,right big toe injury (DTD)
08/02/2019,Timberwolves,Jeff Teague,,returned to lineup
08/02/2019,Mavericks,,Kostas Antetokounmpo,illness (DTD)
09/02/2019,Grizzlies,,Yuta Watanabe,ankle injury (DTD)
09/02/2019,Grizzlies,Joakim Noah,,returned to lineup
09/02/2019,Pelicans,E'Twaun Moore,,returned to lineup
09/02/2019,Raptors,Kawhi Leonard,,returned to lineup
09/02/2019,Spurs,,Rudy Gay,sprained left ankle (DTD)
09/02/2019,Mavericks,Kostas Antetokounmpo,,returned to lineup
10/02/2019,Suns,Devin Booker,,returned to lineup
10/02/2019,Thunder,,Jerami Grant,sprained right ankle (DTD)
10/02/2019,Warriors,,Jacob Evans,pelvic injury (DTD)
11/02/2019,Lakers,,Josh Hart,right knee tendinitis (DTD)
11/02/2019,Nets,,DeMarre Carroll,sore left knee (DTD)
11/02/2019,Rockets,,Nene Hilario ,right calf injury (DTD)
11/02/2019,Timberwolves,Jerryd Bayless,,returned to lineup
12/02/2019,Celtics,,Robert Williams III,sore back (DTD)
12/02/2019,Grizzlies,,Mike Conley Jr.,illness (DTD)
12/02/2019,Lakers,,Tyson Chandler,right big toe injury (DTD)
12/02/2019,Rockets,,Austin Rivers,sore right elbow (DTD)
12/02/2019,Spurs,Rudy Gay,,returned to lineup
13/02/2019,Grizzlies,Mike Conley Jr.,,returned to lineup
13/02/2019,Nets,,Rodions Kurucs,sprained left elbow (DTD)
13/02/2019,Nets,DeMarre Carroll,,returned to lineup
13/02/2019,Raptors,,Kawhi Leonard,sore left knee (DTD)
13/02/2019,Rockets,Nene Hilario ,,returned to lineup
13/02/2019,Celtics,Robert Williams III,,returned to lineup
20/02/2019,76ers,,Joel Embiid,sore left knee (DTD)
20/02/2019,Rockets,,Iman Shumpert,sore right knee (DTD)
21/02/2019,Lakers,Josh Hart,,returned to lineup
21/02/2019,Lakers,Tyson Chandler,,returned to lineup
21/02/2019,Nets,Rodions Kurucs,,returned to lineup
21/02/2019,Nuggets,,Trey Lyles,strained left hamstring (DTD)
21/02/2019,Rockets,Austin Rivers,,returned to lineup
22/02/2019,Blazers,,Evan Turner,sore left knee (DTD)
22/02/2019,Raptors,Kawhi Leonard,,returned to lineup
23/02/2019,Warriors,Shaun Livingston,,returned to lineup
24/02/2019,Bucks,,George Hill,strained left groin (DTD)
24/02/2019,Spurs,,Derrick White,right heel injury (DTD)
25/02/2019,Grizzlies,,C.J. Miles,right hip injury (DTD)
25/02/2019,Heat,,Derrick Jones Jr.,illness (DTD)
25/02/2019,Heat,,Rodney McGruder,bruised right knee (DTD)
25/02/2019,Spurs,Derrick White,,returned to lineup
25/02/2019,Timberwolves,,Jeff Teague,sore left knee (DTD)
25/02/2019,Pacers,,Alize Johnson,bruised left foot (DTD)
26/02/2019,76ers,,Boban Marjanovic,right knee injury (DTD)
26/02/2019,Celtics,,Brad Wanamaker,illness (DTD)
26/02/2019,Pacers,,Domas Sabonis,sprained left ankle (DTD)
27/02/2019,Celtics,Brad Wanamaker,,returned to lineup
27/02/2019,Grizzlies,,Ivan Rabb,right heel injury (DTD)
27/02/2019,Grizzlies,C.J. Miles,,returned to lineup
27/02/2019,Heat,,Hassan Whiteside,strained left hip (DTD)
27/02/2019,Heat,Derrick Jones Jr.,,returned to lineup
27/02/2019,Heat,Rodney McGruder,,returned to lineup
27/02/2019,Pacers,,Tyreke Evans,food poisoning (DTD)
28/02/2019,Kings,,Marvin Bagley III,sprained left knee (DTD)
28/02/2019,Lakers,,Lance Stephenson,sprained toe (DTD)
28/02/2019,Rockets,,Eric Gordon,sore right knee (DTD)
28/02/2019,Rockets,,Iman Shumpert,right calf injury (DTD)
28/02/2019,Rockets,,Kenneth Faried,bruised left hip / strained adductor in left hip (DTD)
28/02/2019,Thunder,,Paul George,sore right shoulder (DTD)
01/03/2019,Cavaliers,,Ante Zizic,concussion (DTD)
02/03/2019,76ers,,Amir Johnson,back injury (DTD)
02/03/2019,Bucks,,Eric Bledsoe,sore back (DTD)
02/03/2019,Grizzlies,Ivan Rabb,,returned to lineup
02/03/2019,Heat,,Goran Dragic,strained left calf (DTD)
02/03/2019,Pacers,Tyreke Evans,,returned to lineup
02/03/2019,Warriors,,Kevon Looney,pelvic injury (DTD)
02/03/2019,Warriors,,Klay Thompson,sore right knee (DTD)
03/03/2019,Grizzlies,,Mike Conley Jr.,general soreness (DTD)
03/03/2019,Rockets,Eric Gordon,,returned to lineup
04/03/2019,Lakers,,Brandon Ingram,sore right shoulder (out for season)
04/03/2019,Bucks,Eric Bledsoe,,returned to lineup
04/03/2019,Mavericks,,Kostas Antetokounmpo,hip flexor injury (DTD)
05/03/2019,76ers,,Jonah Bolden,illness (DTD)
05/03/2019,76ers,Amir Johnson,,returned to lineup
05/03/2019,Grizzlies,Mike Conley Jr.,,returned to lineup
05/03/2019,Lakers,,Kyle Kuzma,sprained right ankle (DTD)
05/03/2019,Thunder,Paul George,,returned to lineup
05/03/2019,Warriors,,Shaun Livingston,neck spasms (DTD)
05/03/2019,Pacers,,Edmond Sumner,bruised left knee (DTD)
06/03/2019,76ers,Jonah Bolden,,returned to lineup
06/03/2019,Jazz,,Ekpe Udoh,back spasms (DTD)
06/03/2019,Mavericks,Kostas Antetokounmpo,,returned to lineup
06/03/2019,Pistons,,Jon Leuer,right knee injury (DTD)
07/03/2019,Cavaliers,,Matthew Dellavedova,concussion (out for season)
07/03/2019,Pelicans,,E'Twaun Moore,bruised left quadricep (out for season)
07/03/2019,Pelicans,,Jrue Holiday,strained lower abdominal (out for season)
08/03/2019,Jazz,Ekpe Udoh,,returned to lineup
08/03/2019,Magic,,Isaiah Briscoe,right knee injury (DTD)
08/03/2019,Pelicans,,Anthony Davis,lower back spasms (DTD)
08/03/2019,Rockets,Iman Shumpert,,returned to lineup
08/03/2019,Warriors,Shaun Livingston,,returned to lineup
08/03/2019,Pistons,,Zaza Pachulia,right Achilles injury (DTD)
09/03/2019,Knicks,,Noah Vonleh,bruised right hip (DTD)
09/03/2019,Lakers,,Lance Stephenson,sprained toe (DTD)
09/03/2019,Timberwolves,,Andrew Wiggins,bruised left quadricep (DTD)
10/03/2019,Bulls,,Zach LaVine,right knee injury (DTD)
10/03/2019,Cavaliers,,Larry Nance Jr.,rib injury (DTD)
10/03/2019,Knicks,Noah Vonleh,,returned to lineup
10/03/2019,Pacers,Alize Johnson,,returned to lineup
10/03/2019,Pelicans,Anthony Davis,,returned to lineup
10/03/2019,Pistons,Jon Leuer,,returned to lineup
11/03/2019,Hornets,,Cody Zeller,sore left knee (out for season)
11/03/2019,Hornets,,Nicolas Batum,right eye injury (DTD)
11/03/2019,Magic,,Isaiah Briscoe,surgery on right knee (out indefinitely)
11/03/2019,Pistons,Zaza Pachulia,,returned to lineup
11/03/2019,Rockets,,Isaiah Hartenstein,right Achilles injury (DTD)
11/03/2019,Rockets,Kenneth Faried,,returned to lineup
12/03/2019,Clippers,,Danilo Gallinari,sore left ankle (DTD)
12/03/2019,Nets,,DeMarre Carroll,hyperextended left knee (DTD)
12/03/2019,Timberwolves,,Derrick Rose,sore right elbow (out for season)
12/03/2019,Warriors,,Kevin Durant,sprained right ankle (DTD)
13/03/2019,Nets,,Shabazz Napier,right hamstring injury (DTD)
13/03/2019,Thunder,,Markieff Morris,sore neck (DTD)
13/03/2019,Wizards,,Sam Dekker,sore lower back (DTD)
14/03/2019,Jazz,,Thabo Sefolosha,left hamstring injury (DTD)
14/03/2019,Thunder,Markieff Morris,,returned to lineup
15/03/2019,Bucks,,Donte DiVincenzo,heel injury (out for season)
15/03/2019,Bucks,George Hill,,returned to lineup
15/03/2019,Clippers,Danilo Gallinari,,returned to lineup
15/03/2019,Hornets,Nicolas Batum,,returned to lineup
15/03/2019,Jazz,,Dante Exum,right knee injury (out for season)
15/03/2019,Lakers,,Josh Hart,right knee tendinitis (DTD)
15/03/2019,Nets,,Allen Crabbe,sore right knee (out for season)
15/03/2019,Suns,,Tyler Johnson,sore right knee (DTD)
15/03/2019,Wizards,Sam Dekker,,returned to lineup
16/03/2019,Bucks,,Malcolm Brogdon,right foot injury (DTD)
16/03/2019,Suns,,Richaun Holmes,strained right quadriceps (DTD)
17/03/2019,Blazers,,C.J. McCollum,left knee injury (DTD)
17/03/2019,Lakers,Josh Hart,,returned to lineup
18/03/2019,Cavaliers,,Kevin Love,bruised lower back (DTD)
18/03/2019,Thunder,,Nerlens Noel,bruised left quadricep (DTD)
19/03/2019,Bucks,,Ersan Ilyasova,illness (DTD)
19/03/2019,Bucks,,Giannis Antetokounmpo,sprained right ankle (DTD)
19/03/2019,Grizzlies,,C.J. Miles,left foot injury (out for season)
20/03/2019,Bucks,,George Hill,left groin injury (DTD)
20/03/2019,Bucks,Ersan Ilyasova,,returned to lineup
20/03/2019,Bulls,,Zach LaVine,bruised right thigh (out for season)
20/03/2019,Cavaliers,Kevin Love,,returned to lineup
20/03/2019,Cavaliers,Larry Nance Jr.,,returned to lineup
20/03/2019,Grizzlies,,Avery Bradley,right shin injury (DTD)
20/03/2019,Hornets,,Michael Kidd-Gilchrist,concussion (DTD)
20/03/2019,Knicks,,Kadeem Allen,illness (DTD)
20/03/2019,Rockets,,Kenneth Faried,sore left knee (DTD)
20/03/2019,Thunder,Nerlens Noel,,returned to lineup
21/03/2019,Timberwolves,,Taj Gibson,strained left calf (DTD)
21/03/2019,Wizards,,Trevor Ariza,strained left groin (DTD)
22/03/2019,Bucks,George Hill,,returned to lineup
22/03/2019,Bucks,Giannis Antetokounmpo,,returned to lineup
22/03/2019,Bucks,Sterling Brown,,returned to lineup
22/03/2019,Celtics,,Al Horford,sore left knee (DTD)
22/03/2019,Celtics,,Aron Baynes,sprained left ankle (DTD)
22/03/2019,Grizzlies,,Joakim Noah,sore right knee (DTD)
22/03/2019,Grizzlies,,Mike Conley Jr.,general soreness (DTD)
22/03/2019,Knicks,Kadeem Allen,,returned to lineup
22/03/2019,Rockets,Kenneth Faried,,returned to lineup
23/03/2019,Bulls,,Chandler Hutchison,toe injury (out for season)
23/03/2019,Grizzlies,Joakim Noah,,returned to lineup
23/03/2019,Grizzlies,Mike Conley Jr.,,returned to lineup
23/03/2019,Pelicans,Anthony Davis,,returned to lineup
24/03/2019,Rockets,,Gerald Green ,strained left adductor (DTD)
24/03/2019,Lakers,,Mike Muscala,sore right ankle (DTD)
25/03/2019,Bucks,,Tony Snell,sprained left ankle (DTD)
25/03/2019,Grizzlies,,Mike Conley Jr.,left thigh injury (DTD)
25/03/2019,Magic,,Melvin Frazier Jr.,bruised lower back (DTD)
26/03/2019,Blazers,,Jusuf Nurkic,fractured lower left leg (out for season)
26/03/2019,Bulls,,Kris Dunn,strained back (out for season)
26/03/2019,Hawks,,Miles Plumlee,surgery on left knee (out for season)
26/03/2019,Lakers,,Tyson Chandler,illness (DTD)
26/03/2019,Pelicans,,Anthony Davis,lower back spasms (out for season)
27/03/2019,Grizzlies,Mike Conley Jr.,,returned to lineup
27/03/2019,Knicks,,Frank Ntilikina,groin injury (out for season)
27/03/2019,Pelicans,,Frank Jackson,concussion (out for season)
27/03/2019,Wizards,,Trevor Ariza,strained left groin (out for season)
27/03/2019,Wizards,,Devin Robinson,hip injury (DTD)
28/03/2019,Clippers,,Luc Mbah a Moute,surgery on left knee (out for season)
28/03/2019,Heat,,Josh Richardson,bruised left heel (DTD)
28/03/2019,Jazz,,Dante Exum,surgery on right knee (out for season)
28/03/2019,Lakers,,Josh Hart,surgery on right knee (out for season)
28/03/2019,Bucks,,Tony Snell,sprained left ankle (DTD)
28/03/2019,Rockets,,Kenneth Faried,sore left knee (DTD)
29/03/2019,Kings,,Nemanja Bjelica,illness (DTD)
29/03/2019,Lakers,Mike Muscala,,returned to lineup
29/03/2019,Pelicans,,Darius Miller,strained left adductor (out for season)
30/03/2019,Cavaliers,,Kevin Love,sore left shoulder (DTD)
30/03/2019,Hawks,,Dewayne Dedmon,sore left ankle (out for season)
30/03/2019,Lakers,,LeBron James,left groin injury (out for season)
30/03/2019,Mavericks,,Luka Doncic,bruised right thigh (DTD)
30/03/2019,Pistons,,Blake Griffin,sore left knee (DTD)
31/03/2019,Bucks,,Giannis Antetokounmpo,sprained right ankle (DTD)
31/03/2019,Bucks,,Khris Middleton,left groin injury (DTD)
31/03/2019,Grizzlies,,Mike Conley Jr.,sore left ankle (out for season)
31/03/2019,Jazz,,Derrick Favors,back spasms (DTD)
31/03/2019,Kings,Nemanja Bjelica,,returned to lineup
31/03/2019,Lakers,,Kyle Kuzma,left foot injury (out for season)
31/03/2019,Lakers,Reggie Bullock,,returned to lineup
31/03/2019,Suns,,Deandre Ayton,sprained left ankle (out for season)
01/04/2019,Bucks,,Ersan Ilyasova,sore back (DTD)
01/04/2019,Bucks,Giannis Antetokounmpo,,returned to lineup
01/04/2019,Grizzlies,,Jonas Valanciunas,sprained right ankle (out for season)
01/04/2019,Pacers,,Alize Johnson,sore left foot (DTD)
01/04/2019,Knicks,,Isaiah Hicks,sore left hip (DTD)
02/04/2019,Heat,,Derrick Jones Jr.,right knee injury (DTD)
02/04/2019,Knicks,,Kadeem Allen,concussion (out for season)
02/04/2019,Rockets,Kenneth Faried,,returned to lineup
03/04/2019,Heat,Josh Richardson,,returned to lineup
03/04/2019,Rockets,Gerald Green ,,returned to lineup
04/04/2019,Bucks,Ersan Ilyasova,,returned to lineup
04/04/2019,Bucks,Khris Middleton,,returned to lineup
04/04/2019,Heat,,Josh Richardson,strained left hip (out for season)
04/04/2019,Lakers,,Reggie Bullock,stiff neck (out for season)
04/04/2019,Nets,,Allen Crabbe,surgery on right knee (out for season)
04/04/2019,Suns,,Devin Booker,sprained left ankle (out for season)
04/04/2019,Suns,,Tyler Johnson,surgery on right knee (out for season)
04/04/2019,Wizards,,Jabari Parker,sprained left knee (out for season)
05/04/2019,Blazers,,Seth Curry,sore left tibia (DTD)
05/04/2019,Hawks,,Kevin Huerter,back injury (DTD)
05/04/2019,Knicks,,Emmanuel Mudiay,sore left shoulder (out for season)
05/04/2019,Pelicans,,Stanley Johnson,left ankle injury (out for season)
05/04/2019,Pistons,,Svi Mykhailiuk,fractured left index finger (out for season)
05/04/2019,Suns,,Richaun Holmes,sprained left ankle (out for season)
05/04/2019,Wizards,Devin Robinson,,returned to lineup
06/04/2019,Bucks,,Giannis Antetokounmpo,left calf injury (DTD)
06/04/2019,Jazz,,Ricky Rubio,bruised left quadricep (DTD)
06/04/2019,Mavericks,,Maxi Kleber,bruised right knee (DTD)
07/04/2019,Blazers,Seth Curry,,returned to lineup
07/04/2019,Bucks,Giannis Antetokounmpo,,returned to lineup
07/04/2019,Cavaliers,,Nik Stauskas,bruised lower back (DTD)
07/04/2019,Cavaliers,Kevin Love,,returned to lineup
07/04/2019,Clippers,,Danilo Gallinari,sore left ankle (DTD)
07/04/2019,Hawks,Kevin Huerter,,returned to lineup
07/04/2019,Lakers,,Lance Stephenson,sore left foot (out for season)
07/04/2019,Mavericks,,Kostas Antetokounmpo,sore left knee (DTD)
07/04/2019,Timberwolves,,Jerryd Bayless,right ankle injury (DTD)
07/04/2019,Wizards,,Jordan McRae,left Achilles injury (out for season)
08/04/2019,76ers,,J.J. Redick,back injury (DTD)
08/04/2019,76ers,,Joel Embiid,sore left knee (DTD)
08/04/2019,Celtics,,Al Horford,sore left knee (DTD)
08/04/2019,Celtics,,Aron Baynes,sore left ankle (DTD)
08/04/2019,Celtics,,Gordon Hayward,sore left ankle (DTD)
08/04/2019,Celtics,,Jayson Tatum,bruised left shin (DTD)
08/04/2019,Celtics,,Kyrie Irving,bruised right knee (DTD)
08/04/2019,Celtics,,Marcus Morris,right knee injury (DTD)
08/04/2019,Celtics,,Marcus Smart,torn left oblique (out indefinitely)
09/04/2019,Cavaliers,Nik Stauskas,,returned to lineup
09/04/2019,Knicks,,Mario Hezonja,illness (DTD)
09/04/2019,Magic,,Jonathan Isaac,concussion (DTD)
09/04/2019,Nets,,DeMarre Carroll,sprained right wrist (DTD)
09/04/2019,Pacers,,Wes Matthews Jr.,toe injury (DTD)
09/04/2019,Timberwolves,,Karl-Anthony Towns,right knee inflammation (out for season)
10/04/2019,76ers,,Jonah Bolden,sore left knee (out for season)
10/04/2019,Clippers,Danilo Gallinari,,returned to lineup
10/04/2019,Grizzlies,,Chandler Parsons,sore left knee (out for season)
10/04/2019,Knicks,Mario Hezonja,,returned to lineup
10/04/2019,Magic,,Nikola Vucevic,stomach virus (DTD)
10/04/2019,Mavericks,,Luka Doncic,left thigh injury (out for season)
10/04/2019,Pacers,,Bojan Bogdanovic,sore left hand (DTD)
10/04/2019,Pacers,,Thaddeus Young,right hand injury (DTD)
10/04/2019,Timberwolves,,Taj Gibson,strained left calf (out for season)
12/04/2019,Magic,Nikola Vucevic,,returned to lineup
12/04/2019,Raptors,,O.G. Anunoby,appendectomy (out indefinitely)
13/04/2019,76ers,Jonah Bolden,,returned to lineup
13/04/2019,Celtics,Jayson Tatum,,returned to lineup
14/04/2019,Pacers,Bojan Bogdanovic,,returned to lineup
14/04/2019,Pacers,Thaddeus Young,,returned to lineup
14/04/2019,Thunder,,Hamidou Diallo,sore right elbow (out for season)
14/04/2019,Bucks,,Malcolm Brogdon,right foot injury (DTD)
16/04/2019,Warriors,,DeMarcus Cousins,torn left quadriceps (out indefinitely)
17/04/2019,Thunder,,Hamidou Diallo,surgery on right elbow (out for season)
18/04/2019,76ers,,Joel Embiid,sore left knee (DTD)
18/04/2019,Raptors,,Chris Boucher,back spasms (DTD)
19/04/2019,Nets,,Ed Davis ,right ankle injury (DTD)
20/04/2019,76ers,Joel Embiid,,returned to lineup
20/04/2019,Bucks,Tony Snell,,returned to lineup
26/04/2019,76ers,,Mike Scott,right foot injury (DTD)
04/05/2019,Rockets,,Danuel House,toe injury (DTD)
08/05/2019,Bucks,,D.J. Wilson,sprained left ankle (DTD)
08/05/2019,Bucks,Malcolm Brogdon,,returned to lineup
09/05/2019,Warriors,,Kevin Durant,strained right calf (DTD)
10/05/2019,Bucks,,Pau Gasol,surgery on left foot (out for season)
10/05/2019,Rockets,Danuel House,,returned to lineup
17/05/2019,Bucks,D.J. Wilson,,returned to lineup
19/05/2019,Bucks,,D.J. Wilson,sore left ankle (DTD)
21/05/2019,Bucks,D.J. Wilson,,returned to lineup
03/06/2019,Warriors,,Kevon Looney,fractured collarbone (out indefinitely)
05/06/2019,Warriors,,Klay Thompson,strained left hamstring (DTD)
07/06/2019,Warriors,Klay Thompson,,returned to lineup
12/06/2019,Warriors,,Kevin Durant,torn right Achilles tendon (out for season)
14/06/2019,Warriors,,Klay Thompson,torn ACL in left knee (out for season)
03/07/2019,Warriors,,Klay Thompson,surgery on left knee to repair torn ACL (out indefinitely)
11/10/2019,Bucks,,Eric Bledsoe,rib injury (out indefinitely)
13/10/2019,Rockets,,Gerald Green ,left foot injury (out indefinitely)
17/10/2019,Cavaliers,,Ante Zizic,left foot injury (out indefinitely)
18/10/2019,Pelicans,,Zion Williamson,torn meniscus in right knee (out indefinitely)
21/10/2019,Clippers,,Amir Coffey,sprained right ankle (DTD)
21/10/2019,Clippers,,Rodney McGruder,sprained right ankle (DTD)
21/10/2019,Lakers,,Kyle Kuzma,stress reaction in left ankle/foot (out indefinitely)
21/10/2019,Pelicans,,Darius Miller,right Achilles injury (DTD)
21/10/2019,Pelicans,,Zion Williamson,surgery on right knee to repair torn meniscus (out indefinitely)
22/10/2019,Blazers,,Pau Gasol,left foot injury (DTD)
22/10/2019,Bulls,,Chandler Hutchison,strained left hamstring (DTD)
22/10/2019,Celtics,,Romeo Langford,sore right knee (DTD)
22/10/2019,Celtics,,Tacko Fall,concussion (DTD)
22/10/2019,Heat,,Udonis Haslem,sprained left wrist (DTD)
22/10/2019,Jazz,,Dante Exum,right knee injury (DTD)
22/10/2019,Kings,,Harry Giles,sore left knee (DTD)
22/10/2019,Knicks,,Kadeem Allen,sore right knee (DTD)
22/10/2019,Mavericks,,Dwight Powell,strained left hamstring (DTD)
22/10/2019,Pistons,,Blake Griffin,left hamstring injury (out indefinitely)
22/10/2019,Pistons,,Sekou Doumbouya,concussion (DTD)
22/10/2019,Suns,,Ty Jerome,sprained right ankle (out indefinitely)
22/10/2019,Thunder,,Andre Roberson,left knee injury (out indefinitely)
22/10/2019,Wizards,,C.J. Miles,left foot injury (DTD)
22/10/2019,Wizards,,Troy Brown Jr.,strained left calf (DTD)
23/10/2019,Bulls,,Shaquille Harrison,strained left hamstring (DTD)
23/10/2019,Cavaliers,,Dylan Windler,stress reaction in left leg (out for season)
23/10/2019,Hawks,,Allen Crabbe,right knee injury (out indefinitely)
23/10/2019,Hawks,,Chandler Parsons,knee injury (DTD)
23/10/2019,Nuggets,,Bol Bol,left foot injury (DTD)
23/10/2019,Rockets,,Michael Frazier II,sprained right ankle (DTD)
23/10/2019,Rockets,,Nene Hilario ,adductor injury (out indefinitely)
23/10/2019,Wizards,,Isaiah Thomas,left thumb injury (DTD)
24/10/2019,Bucks,Eric Bledsoe,,returned to lineup
24/10/2019,Celtics,,Enes Kanter,bruised left knee (DTD)
24/10/2019,Hornets,,Nicolas Batum,fractured finger (DTD)
24/10/2019,Kings,,Marvin Bagley III,fractured right thumb (out indefinitely)
24/10/2019,Warriors,,Alen Smailagic,sprained right ankle (DTD)
24/10/2019,Wizards,,Jordan McRae,fractured finger (out indefinitely)
25/10/2019,Bulls,Shaquille Harrison,,returned to lineup
26/10/2019,Wizards,Isaiah Thomas,,returned to lineup
27/10/2019,Cavaliers,,John Henson,strained right hamstring (out indefinitely)
28/10/2019,Hornets,,Michael Kidd-Gilchrist,migraine headache (DTD)
28/10/2019,Pelicans,,Derrick Favors,sore right knee (DTD)
29/10/2019,76ers,,Shake Milton,left knee injury (DTD)
29/10/2019,Heat,Udonis Haslem,,returned to lineup
29/10/2019,Knicks,,Elfrid Payton,strained right hamstring (DTD)
30/10/2019,76ers,,Trey Burke,gastroenteritis (DTD)
30/10/2019,Hornets,Michael Kidd-Gilchrist,,returned to lineup
31/10/2019,Heat,,Justise Winslow,back injury (DTD)
31/10/2019,Pacers,,Myles Turner,sprained right ankle (out indefinitely)
31/10/2019,Warriors,,Stephen Curry,fractured left hand (out indefinitely)
31/10/2019,Clippers,Amir Coffey,,returned to lineup
01/11/2019,Raptors,,Patrick McCaw,left knee injury (out indefinitely)
02/11/2019,76ers,Trey Burke,,returned to lineup
02/11/2019,Blazers,,Hassan Whiteside,left knee injury (DTD)
02/11/2019,Blazers,,Zach Collins,surgery on left shoulder (out indefinitely)
02/11/2019,Jazz,,Ed Davis ,fractured fibula in left leg (out indefinitely)
02/11/2019,Jazz,,Emmanuel Mudiay,left hamstring injury (DTD)
02/11/2019,Pistons,,Derrick Rose,right hamstring injury (DTD)
02/11/2019,Warriors,,D'Angelo Russell,sprained right ankle (DTD)
02/11/2019,Warriors,,Draymond Green,left index finger injury (DTD)
03/11/2019,Grizzlies,,Grayson Allen,sore left ankle (DTD)
04/11/2019,Blazers,Hassan Whiteside,,returned to lineup
04/11/2019,Pelicans,Derrick Favors,,returned to lineup
05/11/2019,Heat,Justise Winslow,,returned to lineup
05/11/2019,Lakers,,Avery Bradley,right leg injury (DTD)
05/11/2019,Celtics,,Enes Kanter,bruised left knee (DTD)
05/11/2019,Magic,,Melvin Frazier Jr.,bruised left shoulder (DTD)
06/11/2019,Raptors,,Patrick McCaw,surgery on left knee (date approximate)
06/11/2019,Timberwolves,,Jordan Bell,sprained right shoulder (DTD)
06/11/2019,Timberwolves,,Shabazz Napier,strained right hamstring (DTD)
07/11/2019,76ers,,Ben Simmons,right shoulder injury (DTD)
07/11/2019,Heat,,Dion Waiters,stomach illness (DTD)
07/11/2019,Heat,,Udonis Haslem,stomach illness (DTD)
07/11/2019,Knicks,,Mitchell Robinson,concussion (DTD)
07/11/2019,Pacers,,Goga Bitadze,concussion (DTD)
08/11/2019,Bulls,,Otto Porter Jr.,sprained left foot (DTD)
08/11/2019,Heat,,Derrick Jones Jr.,strained left hip (DTD)
08/11/2019,Heat,Udonis Haslem,,returned to lineup
08/11/2019,Lakers,Avery Bradley,,returned to lineup
08/11/2019,Raptors,,Rondae Hollis-Jefferson,groin injury (DTD)
08/11/2019,Warriors,D'Angelo Russell,,returned to lineup
09/11/2019,Raptors,,Kyle Lowry,fractured left thumb (out indefinitely)
09/11/2019,Raptors,,Serge Ibaka,sprained right ankle (DTD)
09/11/2019,Warriors,,Eric Paschall,bruised right hip (DTD)
10/11/2019,Blazers,,Rodney Hood,back spasms (DTD)
10/11/2019,Raptors,Rondae Hollis-Jefferson,,returned to lineup
11/11/2019,Bucks,,Khris Middleton,left thigh injury (DTD)
11/11/2019,Celtics,,Gordon Hayward,surgery on left hand to repair fracture (out indefinitely)
11/11/2019,Kings,,De'Aaron Fox,sprained left ankle (DTD)
11/11/2019,Nets,,Caris LeVert,sprained right thumb (DTD)
11/11/2019,Pelicans,,Brandon Ingram,sore right knee (DTD)
11/11/2019,Warriors,,Omari Spellman,sprained left ankle (DTD)
11/11/2019,Warriors,Eric Paschall,,returned to lineup
11/11/2019,Nuggets,Bol Bol,,returned to lineup
12/11/2019,Bulls,,Cristiano Felicio,fractured right wrist (out indefinitely)
12/11/2019,Clippers,,Landry Shamet,sprained left ankle (DTD)
12/11/2019,Heat,,Tyler Herro,sprained left ankle (DTD)
12/11/2019,Nuggets,,Malik Beasley,illness (DTD)
12/11/2019,Raptors,,O.G. Anunoby,right eye injury (DTD)
12/11/2019,Rockets,,Eric Gordon,surgery on right knee (out indefinitely)
12/11/2019,Warriors,,Damion Lee,fractured right hand (out indefinitely)
13/11/2019,Blazers,Rodney Hood,,returned to lineup
13/11/2019,Celtics,,Robert Williams III,sore right ankle (DTD)
13/11/2019,Hawks,,Kevin Huerter,strained rotator cuff in left shoulder (out indefinitely)
